total_sqft,bath,balcony,price,bhk,price_per_sqft,availability_binary,location_encoded,standardized_location
1056.0,2.0,1.0,0.46884000000000003,2.0,44.4,0,0.5503403015850418,electroniccityphaseii
2600.0,5.0,3.0,1.44,4.0,55.38,1,1.3280504527834391,chikkatirupathi
1440.0,2.0,3.0,0.744,3.0,51.67,1,0.6614477700160297,uttarahalli
1521.0,3.0,1.0,1.1400000000000001,3.0,74.95,1,1.352043144115414,lingadheeranahalli
1200.0,2.0,1.0,0.612,2.0,51.0,1,1.0034219129497637,kothanur
1170.0,2.0,1.0,0.456,2.0,38.97,1,1.148292208119443,whitefield
2732.0,4.0,0.0,2.448,4.0,89.6,0,2.117465516746815,oldairportroad
3300.0,4.0,0.0,7.2,4.0,218.18,1,3.161094453222185,rajajinagar
1310.0,3.0,1.0,0.759,3.0,57.94,1,1.1169619427005206,marathahalli
1800.0,2.0,2.0,0.84,3.0,46.67,0,1.148292208119443,whitefield
2785.0,5.0,3.0,3.54,4.0,127.11,1,1.148292208119443,whitefield
1000.0,2.0,1.0,0.456,2.0,45.6,1,1.130124128295761,7thphasejpnagar
1100.0,2.0,2.0,0.48,2.0,43.64,1,0.7387534408752112,gottigere
2250.0,3.0,2.0,1.776,3.0,78.93,1,1.0572625792582513,sarjapur
1175.0,2.0,2.0,0.882,2.0,75.06,1,0.7877641375601114,mysoreroad
1180.0,3.0,2.0,0.5760000000000001,3.0,48.81,1,0.5346059000534323,bisuvanahalli
1540.0,3.0,3.0,0.72,3.0,46.75,1,0.7128541094287374,rajarajeshearinagar
2770.0,4.0,2.0,3.48,3.0,125.63,1,2.396619825360668,ramakrishnappalayout
1100.0,2.0,2.0,0.5760000000000001,2.0,52.36,1,0.9887465502404454,manayatatechpark
1755.0,3.0,1.0,1.464,3.0,83.42,0,1.7159282751202227,binnypete
2800.0,5.0,2.0,4.5600000000000005,4.0,162.86,1,0.9600019407207318,thanisandra
1767.0,3.0,1.0,1.236,3.0,69.95,1,1.0431633187800557,"bellandur,"
510.0,1.0,0.0,0.303,1.0,59.41,0,0.9600019407207318,thanisandra
1250.0,3.0,2.0,0.672,3.0,53.76,0,0.866493100480891,mangammanapalya
660.0,1.0,1.0,0.2772,2.0,42.0,1,0.6457043853759072,electroniccity
1610.0,3.0,2.0,0.972,3.0,60.37,0,1.148292208119443,whitefield
1151.0,2.0,2.0,0.5852400000000001,2.0,50.85,0,1.0027144824095167,ramagondanahalli
1025.0,2.0,1.0,0.5640000000000001,3.0,55.02,1,0.6457043853759072,electroniccity
2475.0,4.0,0.0,2.232,4.0,90.18,0,0.910515851529724,yelahanka
1075.0,2.0,1.0,0.42,3.0,39.07,1,0.5346059000534323,bisuvanahalli
1760.0,2.0,2.0,1.476,3.0,83.86,1,1.618665670388181,hebbal
1693.0,3.0,3.0,0.6886800000000001,3.0,40.68,1,0.7128541094287374,rajarajeshearinagar
1925.0,3.0,0.0,1.5,3.0,77.92,1,1.1472328589932557,kasturinagar
700.0,2.0,1.0,0.432,2.0,61.71,0,0.8444439804452369,kanakapurarod
1070.0,2.0,1.0,0.546,2.0,51.03,1,0.665123425837477,"electroniccityphase1,"
1724.0,3.0,2.0,1.5,3.0,87.01,1,1.2964229489975605,kundalahalli
1290.0,2.0,2.0,0.67344,3.0,52.2,1,0.7152993097704949,chikkalasandra
1143.0,2.0,2.0,0.54,2.0,47.24,1,0.6614477700160297,uttarahalli
1296.0,2.0,0.0,0.972,2.0,75.0,1,1.1728099126803342,murugeshpalya
1254.0,3.0,2.0,0.456,3.0,36.36,0,1.2214081780825812,sarjapurroad
600.0,1.0,0.0,0.456,1.0,76.0,1,0.8683814309911806,ganganagar
660.0,1.0,0.0,0.5760000000000001,1.0,87.27,1,0.910515851529724,yelahanka
1330.74,2.0,2.0,1.10148,2.0,82.77,0,0.8444439804452369,kanakapurarod
970.0,2.0,0.0,0.396,2.0,40.82,1,0.582617456340167,doddathoguru
1459.0,2.0,1.0,1.13784,2.0,77.99,0,1.148292208119443,whitefield
800.0,1.0,1.0,1.56,2.0,195.0,1,0.8497278304162702,krpuram
869.0,2.0,1.0,0.432,2.0,49.71,1,0.9412396507213364,himagirimeadows
1270.0,2.0,1.0,0.6,2.0,47.24,1,0.9832396507213365,adarshnagar
1670.0,3.0,1.0,1.188,3.0,71.14,0,1.1732341375601114,bhoganhalli
2010.0,3.0,2.0,1.092,3.0,54.33,1,1.148292208119443,whitefield
1185.0,2.0,2.0,0.9,2.0,75.95,1,1.1614604769970602,lakshminarayanapura
1600.0,2.0,3.0,0.9,3.0,56.25,1,0.910515851529724,yelahanka
1200.0,2.0,2.0,0.528,2.0,44.0,1,0.6908995071772066,begurroad
3210.0,4.0,0.0,2.3040000000000003,4.0,71.78,0,0.9023682586069598,devanahalli
1500.0,2.0,2.0,2.22,2.0,148.0,1,2.396619825360668,ramakrishnappalayout
840.0,2.0,2.0,0.54,2.0,64.29,1,1.662591720577069,govindarajanagarward
845.0,2.0,1.0,0.66,2.0,78.11,1,0.8683814309911806,ganganagar
1160.0,2.0,2.0,0.528,2.0,45.52,1,0.7687688029836081,varthur
3000.0,8.0,0.0,1.68,8.0,56.0,1,0.7486411029395813,bommanahalli
1100.0,2.0,1.0,0.744,2.0,67.64,1,0.582617456340167,doddathoguru
1140.0,2.0,3.0,0.516,2.0,45.26,0,0.7552432751202227,gunjur
1220.0,2.0,1.0,0.684,2.0,56.07,1,1.1169619427005206,marathahalli
1005.0,2.0,1.0,0.44016,2.0,43.8,1,0.8444439804452369,kanakapurarod
500.0,3.0,2.0,1.2,3.0,240.0,1,1.1332396507213365,doubleroad
1358.0,2.0,1.0,0.96696,2.0,71.2,0,0.6908995071772066,begurroad
1569.0,3.0,1.0,1.212,3.0,77.25,1,1.6852257467307854,hegdenagar
1240.0,2.0,1.0,0.84,2.0,67.74,0,0.9525613888313661,"haralurroad,"
2089.0,3.0,2.0,1.68,3.0,80.42,1,1.1521533689384147,hennurroad
1206.0,2.0,1.0,0.5787599999999999,2.0,47.99,1,0.6519482751202227,kothannur
1150.0,2.0,3.0,0.48,2.0,41.74,1,0.9009155167468152,kalenaagrahara
2511.0,3.0,3.0,2.46,3.0,97.97,1,1.2436620669872607,cholanayakanahalli
460.0,1.0,0.0,0.264,2.0,57.39,1,0.7683895044732758,kavalbyrasandra
1660.0,2.0,2.0,1.26,3.0,75.9,1,1.1482396507213364,kodandareddylayout
3203.5,4.0,0.0,2.694,4.0,84.1,0,1.1521533689384147,hennurroad
1326.0,2.0,2.0,0.936,2.0,70.59,0,0.910515851529724,yelahanka
1325.0,2.0,2.0,0.7296,3.0,55.06,1,0.8270739301442672,garudacharpalya
3000.0,7.0,2.0,2.52,6.0,84.0,1,1.6852257467307854,hegdenagar
